Family,Genus,species,bar_code,plot_code,X,Y,DBH,leaf_thickness,leaf_toughness,sapwood_density,N,C_N,N15,C13,chlorophyll_concentration,surface_area,SLA
Annonaceae,Fusaea,longifolia,NH200249,NH20,55,312,31.7,207.3333333,1.599999984,0.5512,0.020154008,23.96297322,0.395679043,-33.03131606,83.47887624,31.33333333,6.225165479
Annonaceae,Fusaea,longifolia,NH200642,NH20,26,343,13,176.4666646,1.369999965,0.4386,0.015046199,25.48653524,0.57042255,-33.73861104,75.42811855,84.23333333,10.472441
Annonaceae,Fusaea,longifolia,NL110220,NL11,140,50,15.5,257.6333313,1.450000008,0.5101,0.017182894,28.62904788,3.358026971,-33.39528166,94.2630898,50.6,7.926893108
Annonaceae,Fusaea,longifolia,NL110414,NL11,179,17,10.1,194.2333323,1.620000005,0.6241,0.018663575,26.72254924,5.447234081,-32.04965254,37.5089051,99.53333333,12.20269705
Annonaceae,Fusaea,longifolia,T10035,T1,104,98.5,18.1,220,1.75999999,0.63014,0.022602088,22.26062822,2.306459781,-33.09975001,72.01576739,89.41800181,11.52293833
Annonaceae,Fusaea,longifolia,T10106,T1,88.5,19.5,11,183.3333333,1.279999971,0.64103,NA,NA,NA,NA,59.6150437,49.67553329,14.59614084
Annonaceae,Fusaea,longifolia,T10288,T1,41.5,81,11,233.3333333,2.036666671,NA,NA,NA,NA,NA,74.93312333,130.7213313,12.38282268
Annonaceae,Fusaea,longifolia,T12003,T1,65.5,87,10.5,193.3333333,1.409999967,0.60096,NA,NA,NA,NA,65.54145061,79.51723353,14.72541357
Annonaceae,Guatteria,anthracina,NH200044,NH20,3,388,33.1,278.6666667,1.666666667,0.4607,0.020258385,23.4686186,1.51777043,-33.57213918,85.49967277,36.7,8.965798154
Annonaceae,Guatteria,brevicuspis,LV109390,LV1,163.2,24,22.22929936,275,2.116666635,NA,0.016840893,29.09169181,0.772892032,-31.74038449,84.25131917,44.6419665,7.030231051
Annonaceae,Guatteria,brevicuspis,LV109434,LV1,178.6,22.9,16.71974522,263.6666667,2.633333286,NA,NA,NA,NA,NA,90.89974418,143.3187968,8.498841252
Annonaceae,Guatteria,brevicuspis,LV109510,LV1,198.7,82,17.67515924,313.3333333,2.293333371,NA,0.015941077,29.52138159,1.599575376,-33.9477638,68.26107889,169.5155373,9.61154045
Annonaceae,Guatteria,guianensis,P01860374,P018,2,49,10,235,1.896666646,0.5816,0.013553435,35.60262686,1.483566788,-35.51872227,60.15426073,524.0333333,9.370567141
Annonaceae,Guatteria,guianensis,P01860473,P018,87,98,14,254.0333354,2.48333327,0.5753,0.015558288,31.60578111,3.645895564,-34.37983547,66.37467546,396.5,9.007269362
Annonaceae,Guatteria,sp. B1,LV109459,LV1,174.8,52.2,13.21656051,NA,1.593333284,NA,NA,NA,NA,NA,60.99961035,51.33120092,15.03843749
Annonaceae,Guatteria,wachenheimii,A110155,A11,38,41,13.5,176.6666667,2.210000038,0.62,0.018435006,27.536018,3.003864685,-33.63927824,71.94738474,68,11.28318604
Annonaceae,Guatteria,wachenheimii,A110169,A11,25,23,13.7,173.2333323,2.856666644,0.56,NA,NA,NA,NA,78.01466308,64.16666667,10.15295344
Annonaceae,Guatteria,wachenheimii,A110187,A11,25,7,16.2,167.1333313,2.26666673,0.52,NA,NA,NA,NA,92.23216299,55.46666667,10.30978958
Annonaceae,Guatteria,wachenheimii,A110435,A11,92,98,22.3,201.5333354,2.403333346,0.55,0.016375057,30.66597845,2.789635828,-33.23093017,68.26108139,52.7,8.912063189
Annonaceae,Guatteria,wachenheimii,B444068,B4,92,64,11.6,164.4333344,1.339999994,0.53,NA,NA,NA,NA,66.95599142,71.8,12.53783495
Annonaceae,Guatteria,wachenheimii,B446068,B4,94,19,14.6,160.899999,1.549999992,NA,0.019114908,25.4055284,1.243125608,-32.99131659,78.45252579,52.53333333,10.70652172
Annonaceae,Guatteria,wachenheimii,B446072,B4,89,17,10.8,176.8666687,1.709999998,0.63,NA,NA,NA,NA,81.6489674,52.43333333,8.705035774
Annonaceae,Guatteria,wachenheimii,LV109164,LV1,131.9,61.2,11.46496815,180.3333333,2.00333337,NA,NA,NA,NA,NA,79.92635709,101.6599325,10.99422466
Annonaceae,Guatteria,wachenheimii,NH200401,NH20,70,374,16,153.2333323,1.976666689,0.5549,NA,NA,NA,NA,51.03360119,79.63333333,11.99297181
Annonaceae,Guatteria,wachenheimii,NL110542,NL11,194,56,16.9,155.4666646,1.776666641,0.548,0.018459309,25.75208189,4.753532279,-33.83627595,61.85306229,97.93333333,12.41758244
Annonaceae,Guatteria,wachenheimii,NL110627,NL11,194,83,10.287,135.2333323,1.629999995,NA,0.01931645,24.27186134,4.379201205,-35.32740412,52.28651163,111.3,16.20087298
Annonaceae,Oxandra,asbeckii,A110268,A11,66,89,11.1,201.3333333,1.643333316,0.75,NA,NA,NA,NA,60.81778623,24.46666667,14.19729235
Annonaceae,Oxandra,asbeckii,A110368,A11,93,15,12.4,200,1.846666654,0.78,NA,NA,NA,NA,108.489161,26.56666667,11.2411849
Annonaceae,Oxandra,asbeckii,A110377,A11,88,27,10.8,211.6999969,1.616666635,0.78,NA,NA,NA,NA,101.7841272,22.43333333,10.87237475
Annonaceae,Oxandra,asbeckii,A112000,A11,19,21,10.4,185.899999,1.646666646,NA,NA,NA,NA,NA,54.73615974,22.43333333,16.02380946
Annonaceae,Oxandra,asbeckii,LV109022,LV1,114,66.6,16.87898089,214,1.316666683,0.73298,NA,NA,NA,NA,87.16182634,16.60909939,11.35018193
Annonaceae,Oxandra,asbeckii,LV109023,LV1,116.9,64.9,14.64968153,269.3333333,1.559999983,0.7451,0.017975479,27.2325538,0.624165265,-31.54809941,67.21553595,22.86290042,8.942464081
Annonaceae,Oxandra,asbeckii,LV109026,LV1,116.8,71.3,14.64968153,NA,NA,0.73727,NA,NA,NA,NA,NA,NA,NA
Annonaceae,Oxandra,asbeckii,LV109029,LV1,119.7,59.3,10.66878981,202.3333333,1.406666676,0.71084,NA,NA,NA,NA,66.24599208,27.28446643,12.38326742
Annonaceae,Oxandra,asbeckii,LV109030,LV1,105.6,60.1,17.19745223,260.6666667,2.086666663,NA,NA,NA,NA,NA,81.12151524,13.65880013,8.92732022
Annonaceae,Oxandra,asbeckii,LV109031,LV1,105.4,58,14.64968153,264,2.24000001,NA,NA,NA,NA,NA,87.96294408,25.01503309,10.58464014
Annonaceae,Oxandra,asbeckii,LV109044,LV1,114.5,43,13.05732484,221.6666667,1.50666666,NA,NA,NA,NA,NA,95.55255895,23.69603348,11.33781526
Annonaceae,Oxandra,asbeckii,LV109045,LV1,117,46.7,12.57961783,234.3333333,1.783333341,NA,NA,NA,NA,NA,98.80150694,22.68996684,10.77055389
Annonaceae,Oxandra,asbeckii,LV109046,LV1,118.5,52.8,11.62420382,192.3333333,1.566666683,NA,NA,NA,NA,NA,81.6489674,24.91236687,12.25198372
Annonaceae,Oxandra,asbeckii,LV109059,LV1,105.5,30.7,10.35031847,NA,1.903333306,NA,NA,NA,NA,NA,81.57344369,21.82716688,13.41834014
Annonaceae,Oxandra,asbeckii,LV109088,LV1,117.9,12.5,16.56050955,225,1.526666681,NA,0.021616943,21.93724538,1.126246784,-32.65753391,103.9121221,23.38063367,10.6598635
Annonaceae,Oxandra,asbeckii,LV109108,LV1,123.2,10.4,14.96815287,215.3333333,1.526666681,NA,NA,NA,NA,NA,66.95598894,15.51839987,10.55673462
Annonaceae,Oxandra,asbeckii,LV109165,LV1,130.3,73,18.15286624,229.3333333,1.529999971,NA,NA,NA,NA,NA,107.6165894,20.50286674,11.58354046
Annonaceae,Oxandra,asbeckii,LV109166,LV1,129.1,74.5,15.60509554,219.3333333,1.560000022,NA,NA,NA,NA,NA,77.0005705,18.11373393,10.84654722
Annonaceae,Oxandra,asbeckii,LV109170,LV1,118.3,73.1,16.56050955,459,1.780000051,NA,NA,NA,NA,NA,81.27193044,27.71190008,13.1128864
Annonaceae,Oxandra,asbeckii,LV109171,LV1,121,76.2,18.47133758,270.6666667,2.266666651,NA,NA,NA,NA,NA,67.02080839,12.52106635,8.797002096
Annonaceae,Oxandra,asbeckii,LV109183,LV1,129.8,87.8,15.2866242,221.6666667,1.506666621,NA,NA,NA,NA,NA,84.25131621,27.04283333,11.15935353
Annonaceae,Oxandra,asbeckii,LV109200,LV1,129.8,96.2,11.78343949,190.3333333,1.566666643,NA,NA,NA,NA,NA,67.02080839,16.28970019,12.59512888
Annonaceae,Oxandra,asbeckii,LV109245,LV1,144.2,30.7,17.19745223,239,1.916666667,NA,0.020717664,23.52191362,0.423022651,-31.79440763,96.94543289,22.53889974,10.58164309
Annonaceae,Oxandra,asbeckii,LV109248,LV1,141.8,29.9,15.2866242,219.6666667,2,NA,NA,NA,NA,NA,96.94542955,18.94966634,12.06985115
Annonaceae,Oxandra,asbeckii,LV109270,LV1,147.5,33.3,16.87898089,220,1.426666617,NA,NA,NA,NA,NA,84.01896008,19.40280024,11.6416798
Annonaceae,Oxandra,asbeckii,LV109280,LV1,146.8,46.9,12.10191083,253,1.74666667,NA,NA,NA,NA,NA,84.01896008,20.52580007,12.4650607
Annonaceae,Oxandra,asbeckii,LV109285,LV1,145.7,51.8,13.21656051,233,1.626666625,NA,NA,NA,NA,NA,77.07265761,24.47613398,13.39934359
Annonaceae,Oxandra,asbeckii,LV109319,LV1,152,98.2,14.01273885,199.3333333,1.504999995,NA,NA,NA,NA,NA,64.90563638,17.8089997,13.94960807
Annonaceae,Oxandra,asbeckii,LV109344,LV1,168.9,84.6,14.33121019,188,1.409999967,NA,NA,NA,NA,NA,59.67479594,24.93503316,14.22150179
Annonaceae,Oxandra,asbeckii,LV109389,LV1,163.7,25,17.51592357,224.6666667,2.129999955,NA,NA,NA,NA,NA,97.73697179,25.56516584,9.659382561
Annonaceae,Oxandra,asbeckii,LV109405,LV1,174,4.5,17.70700637,227.3333333,1.313333313,NA,NA,NA,NA,NA,56.33224993,15.87610022,10.39919219
Annonaceae,Oxandra,asbeckii,LV109440,LV1,168.1,32.3,10.35031847,213.3333333,1.536666632,NA,NA,NA,NA,NA,92.4418959,22.83690008,12.6403507
Annonaceae,Oxandra,asbeckii,LV109462,LV1,168.7,47.5,12.89808917,NA,1.949999968,NA,NA,NA,NA,NA,107.423602,20.88636716,11.56071992
Annonaceae,Oxandra,asbeckii,LV109463,LV1,174.7,57.8,18.31210191,236,1.7566667,NA,NA,NA,NA,NA,93.24272513,26.4169,10.34604435
Annonaceae,Oxandra,asbeckii,LV109488,LV1,178.9,97.9,14.96815287,238.6666667,1.936666648,NA,NA,NA,NA,NA,91.64713714,25.17423312,12.10299673
Annonaceae,Oxandra,asbeckii,LV113000,LV1,123.8,40,12.42038217,262.3333333,2.093333284,NA,NA,NA,NA,NA,79.48188106,20.14289983,11.57637922
Annonaceae,Oxandra,asbeckii,LV113002,LV1,139.4,11.2,10.82802548,195,1.373333335,NA,NA,NA,NA,NA,75.14495258,23.50526683,15.98997772
Annonaceae,Oxandra,asbeckii,LV113003,LV1,125,2.7,10.1910828,178.6666667,1.709999998,NA,NA,NA,NA,NA,77.14479553,21.14366659,13.64107533
Annonaceae,Oxandra,asbeckii,NH200414,NH20,74,385,12.2,195.3333333,1.586666703,0.6109,NA,NA,NA,NA,93.49688852,24.4,11.29629626
Annonaceae,Oxandra,asbeckii,P00610011,P006,5,132,12.7,230.6666667,1.850000024,0.8698,0.020775652,22.85792008,-0.812663763,-31.81645975,85.18613647,17.56666667,10.45634935
Annonaceae,Oxandra,asbeckii,P00610016,P006,4,137,12.3,224.100001,1.436666648,0.8153,0.023123885,20.92298803,-1.285964827,-31.66734587,82.48351271,17.76666667,11.81818208
Annonaceae,Oxandra,asbeckii,P00610047,P006,1,205,13.1,199.3333333,1.803333322,0.8893,0.017447513,26.64906993,0.735828859,-32.29587052,69.71821847,18.76666667,10.19927534
Annonaceae,Oxandra,asbeckii,P00610050,P006,5,211,12.9,233,2.063333313,NA,0.020012748,23.98832174,1.214962247,-31.70391213,79.33416948,17.6,9.92481221
Annonaceae,Oxandra,asbeckii,P00610098,P006,11,215,12.3,249.2333323,2.449999968,NA,0.020543204,23.02586169,-0.718497929,-31.9056251,106.0818851,40.7,9.926829355
Annonaceae,Oxandra,asbeckii,P00610107,P006,14,201,12.3,175.5666656,1.819999973,NA,0.020861663,22.95555374,0.022062235,-31.035711,78.3063534,28.23333333,12.03125019
Annonaceae,Oxandra,asbeckii,P00610112,P006,21,192,12.3,246.9666697,1.963333368,NA,0.01988591,24.36373528,0.335377468,-32.29080095,99.42737661,21.2,9.695121904
Annonaceae,Oxandra,asbeckii,P00610143,P006,21,147,14.3,191.100001,1.593333324,NA,0.018752808,24.1299872,-1.412376337,-31.30188313,102.8892507,19.86666667,10.53003562
Annonaceae,Oxandra,asbeckii,P00610145,P006,23,140,15,208.3333333,1.913333337,NA,0.022728374,20.39528543,-1.383035366,-31.86126563,75.49904243,27.73333333,12.38095227
Annonaceae,Oxandra,asbeckii,P00610147,P006,18,139,11.8,238.799998,1.956666668,NA,0.017766574,25.52683871,-2.353170717,-31.97413916,95.81233745,24.83333333,10.1498638
