,Vcmax_m_25,Rdarka_25C_FixedQ10,Predicted Link,Species,Source Scientific,Destination Scientific
200,,0.57,0,Pinus strobus,Lupinus perennis,Pinaropappus parvus
201,,0.83,0,Podophyllum peltatum,Lupinus perennis,Pinaropappus roseus
202,,0.97,0,Quercus coccinea,Lupinus perennis,Pinaropappus roseus
203,,0.78,0,Rhododendron maximum,Lupinus perennis,Pinaropappus roseus
204,,1.21,0,Robinia pseudoacacia,Lupinus perennis,Pistia stratiotes
205,,0.38,0,Tsuga canadensis,Lupinus perennis,Saxifraga micranthidifolia
206,374.5,1.34,1,AcmeNAgraveolens,Lupinus perennis,Stephanomeria blairii
207,465.7,0.91,1,Alstonia scholaris,Lupinus perennis,Stephanomeria cichoriacea
208,363.1,0.95,1,Argyrodendron peralatum,Lupinus perennis,Stephanomeria diegensis
209,307.8,0.7,1,Cardwellia sublimis,Lupinus perennis,Stephanomeria elata
210,650.7,1.03,1,Castanospermum australe,Lupinus perennis,Stephanomeria Nutt.
211,326.8,0.82,1,Cryptocarya mackinnoniana,Lupinus perennis,Stephanomeria exigua
212,541.9,1.3,1,Dysoxylum papuanum,Lupinus perennis,Stephanomeria exigua
213,651.8,1.05,1,Elaeocarpus angustifolius,Lupinus perennis,Stephanomeria exigua
214,627.1,0.9,1,Elaeocarpus grandis,Lupinus perennis,Stephanomeria exigua
215,446.2,0.62,1,Endiandra leptodendron,Lupinus perennis,Stephanomeria exigua
216,1010.1,0.99,1,Ficus variegata,Lupinus perennis,Stephanomeria exigua
217,326.4,0.96,1,Gillbeea whyapallana,Lupinus perennis,Stephanomeria fluminea
218,328.9,0.82,1,Myristica globosa subsp muelleri,Lupinus perennis,Stephanomeria lactucina
219,394.1,0.17,1,Pseuduvaria froggattii,Lupinus perennis,Stephanomeria malheurensis
220,257.0,0.48,1,Rockinghamia angustifolia,Lupinus perennis,Stephanomeria minor
221,384.5,0.89,1,Synima cordierorum,Lupinus perennis,Stephanomeria minor
222,455.2,0.84,1,Syzygium sayeri,Lupinus perennis,Stephanomeria minor
223,316.1,0.6,1,Xanthophyllum octandrum,Lupinus perennis,Stephanomeria minor
224,331.7,1.03,1,Apeiba aspera,Lupinus perennis,Stephanomeria paniculata
225,271.5,1.01,1,Inga laurina,Lupinus perennis,Stephanomeria parryi
226,104.9,0.98,1,Pouteria torta subsp glabra,Lupinus perennis,Stephanomeria pauciflora
227,346.9,1.8,1,Pseudolmedia laevis,Lupinus perennis,Stephanomeria runcinata
228,103.0,1.71,1,Terminalia oblonga,Lupinus perennis,Stephanomeria schottii
229,213.9,2.0,1,Brunellia cuzcoensis,Lupinus perennis,Stephanomeria thurberi
230,219.8,3.63,1,Cinnamomum floccosum,Lupinus perennis,Stephanomeria virgata
231,257.1,1.4,1,Clethra scabra,Lupinus perennis,Stephanomeria virgata
232,199.8,1.53,1,Clethra sp,Lupinus perennis,Stephanomeria virgata
233,366.9,2.02,1,Miconia livida,Lupinus perennis,Stephanomeria wrightii
234,231.5,2.29,1,Miconia sp,Lupinus perennis,Ulva clathratioides
235,337.7,1.8,1,Miconia theizans,Lupinus perennis,Ulva pertusa
236,389.7,1.42,1,Morella pavonis,Lupinus perennis,Ulva L.
237,293.3,1.79,1,Myrsine coriacea,Lupinus perennis,Claytonia perfoliata
238,266.6,1.81,1,Myrsine youngii,Lupinus perennis,Claytonia perfoliata
239,197.4,1.76,1,Persea buchtienii,Lupinus perennis,Claytonia perfoliata
240,42.9,0.38,1,Podocarpus oleifolius,Lupinus perennis,Claytonia perfoliata
241,327.2,2.34,1,Prunus integrifolia,Lupinus perennis,Dudleya caespitosa
242,101.6,1.86,1,Weinmannia pubescens,Lupinus perennis,Ixeris stolonifera
243,1190.5,2.53,1,Aristotelia serrata,Lupinus perennis,Lactuca biennis
244,663.1,2.26,1,Coriaria arborea,Lupinus perennis,Lactuca canadensis
245,254.2,1.64,1,Griselinia littoralis,Lupinus perennis,Lactuca L.
246,914.5,1.94,1,Hebe sp,Lupinus perennis,Lactuca floridana
247,914.3,2.34,1,Olearia avicenniifolia,Lupinus perennis,Lactuca floridana
248,1462.2,2.63,1,Aristotelia serrata,Lupinus perennis,Lactuca floridana
249,481.6,1.5,1,Coprosma lucida,Lupinus perennis,Lactuca graminifolia
250,447.4,2.42,1,Coriaria arborea,Lupinus perennis,Lactuca graminifolia
251,810.7,1.51,1,Melicytus ramiflorus,Lupinus perennis,Lactuca graminifolia
252,1043.5,1.61,1,Olearia arboraescens,Lupinus perennis,Lactuca hirsuta
253,638.9,1.72,1,Schefflera digitata,Lupinus perennis,Lactuca hirsuta
254,2148.7,2.33,1,Fuchsia excorticata,Lupinus perennis,Lactuca hirsuta
255,208.4,1.22,1,Griselinia littoralis,Lupinus perennis,Lactuca hirsuta
256,864.3,1.89,1,Metrosideros umbellata,Lupinus perennis,Lactuca indica
257,1910.1,4.31,1,Olearia illcifolia,Lupinus perennis,Lactuca ludoviciana
258,143.1,1.55,1,Pseudopanax colensoi,Lupinus perennis,Lactuca ×morssii
259,380.6,1.94,1,Pseudopanax crassifolius,Lupinus perennis,Lactuca saligna
260,137.8,1.69,1,Weinmannia racemosa,Lupinus perennis,Lactuca sativa
261,142.2,1.76,1,Griselinia littoralis,Lupinus perennis,Lactuca serriola
262,221.5,1.55,1,Metrosideros umbellata,Lupinus perennis,Lactuca tatarica
263,73.5,1.05,1,Weinmannia racemosa,Lupinus perennis,Lactuca tatarica
264,23.4,0.68,1,Dacrydium cuppressinum,Lupinus perennis,Lactuca virosa
265,68.3,0.96,1,Metrosideros umbellata,Lupinus perennis,Montia bostockii
266,18.6,0.42,1,Weinmannia racemosa,Lupinus perennis,Montia chamissoi
267,31.8,1.73,1,Dacrydium cuppressinum,Lupinus perennis,Montia dichotoma
268,160.1,2.16,1,Metrosideros umbellata,Lupinus perennis,Montia diffusa
269,51.0,1.01,1,Weinmannia racemosa,Lupinus perennis,Montia fontana
270,199.7,1.67,1,Acacia aneura,Lupinus perennis,Montia howellii
271,378.6,0.86,1,Acacia hemiteles,Lupinus perennis,Montia linearis
272,,1.7,0,Atriplex nummularia,Lupinus perennis,Montia L.
273,170.1,2.25,1,Eremophila scoparia,Lupinus perennis,Montia parvifolia
274,191.3,2.16,1,Eucalyptus clelandii,Lupinus perennis,Montia parvifolia
275,161.1,1.85,1,Eucalyptus salmonophloia,Lupinus perennis,Montia parvifolia
